 ship_site, rcv_site_num,lead_time,schd_delv_qty,first_cost,sales,ship_lat,ship_long, rcv_site_num,rcv_lat,rcv_long,mch_2_cd
D003,536,-0.1,30,120.59,226.17,43.4257,-80.3779,536,43.17914,-79.24418,2
D003,2649,0,12,25.8,48.93,43.4257,-80.3779,2649,47.9879,-84.7703,1
D003,3101,0,9,22.13,27.42,43.4257,-80.3779,3101,43.5955,-79.6029,3
D003,442,0,2,3.69,6.49,43.4257,-80.3779,442,43.611,-79.6009,2
D003,522,0,13,31.01,52.11,43.4257,-80.3779,522,43.1344,-79.2257,2
D003,456,0,12,29.5,51.92,43.4257,-80.3779,456,42.2935,-82.6994,3
D003,723,0,19,40.59,50.27,43.4257,-80.3779,723,43.2297,-79.8828,1
D003,2614,0,8,3.69,6.49,43.4257,-80.3779,2614,43.2599,-81.1153,3
D003,537,0,18,36.53,64.51,43.4257,-80.3779,537,43.1024,-79.1129,3
D003,560,-2.89,31,93.75,171.6,43.4257,-80.3779,560,43.4238,-80.4878,3
D003,1326,0,23,33.21,41.13,43.4257,-80.3779,1326,42.9076,-78.944,2
D003,743,0,21,47.97,59.41,43.4257,-80.3779,743,43.1984,-79.2531,2
D003,1091,-0.225,36,99.95,168.33,43.4257,-80.3779,1091,43.0005,-81.2262,2
D003,455,0,12,22.13,38.94,43.4257,-80.3779,455,43.8811,-81.3158,2
D003,98,0,26,54.7,92.89,43.4257,-80.3779,98,43.7059,-79.7828,1
D003,545,0,11,39.27,70.71,43.4257,-80.3779,545,43.4152,-80.3243,3
D003,557,-0.07,17,44.8,83.11,43.4257,-80.3779,557,43.3688,-80.9518,3
D003,3923,-0.93,24,36.9,45.7,43.4257,-80.3779,3923,42.9425,-81.229,3
D003,3149,0,21,22.14,27.42,43.4257,-80.3779,3149,43.3895,-80.3458,3
D037,9005,0,5,13.81,19.88,49.9123,-97.1832,9005,48.72217,-86.37328,2
D037,3990,0,25,73.81,109.8,49.9123,-97.1832,3990,49.8824,-97.122,1
D003,3147,-0.13,17,29.52,36.56,43.4257,-80.3779,3147,42.5931,-82.4013,3
D003,2634,0,6,11.05,19.47,43.4257,-80.3779,2634,44.6291,-81.2627,3
D037,3428,0,38,118.1,175.68,49.9123,-97.1832,3428,49.7134,-86.9539,3
D003,758,0,6,11.06,13.71,43.4257,-80.3779,758,43.6166,-79.618,2
D003,3477,0,25,47.94,59.41,43.4257,-80.3779,3477,43.1913,-80.3687,3
D003,1302,-0.3,16,18.45,22.85,43.4257,-80.3779,1302,42.9577,-81.2594,3
D037,1512,-0.215,50,158.02,233.89,49.9123,-97.1832,1512,49.9279,-97.0693,2
D003,48,0,27,87.25,152.84,43.4257,-80.3779,48,43.2206,-79.8583,3
D003,515,-0.665,11,29.63,52.93,43.4257,-80.3779,515,43.4319,-80.4411,3
D003,275,0,29,44.28,54.84,43.4257,-80.3779,275,42.1747,-82.8194,3
D003,573,0,13,3.45,5.79,43.4257,-80.3779,573,42.3147,-82.8663,2
D003,1016,-0.105,19,45.49,86.9,43.4257,-80.3779,1016,42.9384,-81.2778,2
D037,1505,0.15,42,148.3,224.15,49.9123,-97.1832,1505,49.9494,-97.1567,2
D003,540,0,35,115.77,213.36,43.4257,-80.3779,540,43.1711,-80.2509,2
D003,86,0,17,52.97,94.91,43.4257,-80.3779,86,43.2153,-79.9887,2
D003,277,0,18,29.52,36.56,43.4257,-80.3779,277,43.1661,-79.4742,1
D037,9078,0,7,20.71,29.82,49.9123,-97.1832,9078,49.78726,-92.81122,3
D003,288,-0.13,10,7.38,9.14,43.4257,-80.3779,288,43.3299,-79.8016,1
D003,438,0,13,29.74,54.45,43.4257,-80.3779,438,44.5956,-80.5796,2
D003,3117,0,48,95.94,118.82,43.4257,-80.3779,3117,43.0168,-81.2159,3
D037,1504,-1.5,59,209.75,313.66,49.9123,-97.1832,1504,48.4097,-89.2484,1
D003,558,0,7,37.22,71.94,43.4257,-80.3779,558,43.8713,-79.7238,2
D003,833,0,9,14.76,27.96,43.4257,-80.3779,833,46.1855,-82.9551,3
D003,885,-1.43,20,66.87,119.88,43.4257,-80.3779,885,44.9219,-79.3725,2
D003,1386,0,24,44.28,54.84,43.4257,-80.3779,1386,43.9094,-80.1227,1
D003,3135,0,40,62.73,77.69,43.4257,-80.3779,3135,43.13873,-80.24116,1
D003,740,0,12,14.76,18.28,43.4257,-80.3779,740,43.722,-79.6989,2
D003,521,-0.2,17,22.75,41.35,43.4257,-80.3779,521,42.2472,-83.0579,1
D003,2718,0,4,7.38,12.98,43.4257,-80.3779,2718,46.57932,-81.37541,3
D003,2624,-0.8,9,14.76,23.96,43.4257,-80.3779,2624,46.4538,-81.0043,1
D003,523,-0.11,27,85.48,160.84,43.4257,-80.3779,523,43.4498,-80.4459,1
D037,1515,0.27,120,374.06,547.1,49.9123,-97.1832,1515,49.8411,-99.9505,3
D003,97,0,5,26.06,47.96,43.4257,-80.3779,97,43.2235,-79.7489,3
D003,3496,0,9,29.5,36.56,43.4257,-80.3779,3496,43.6647,-79.7813,2
D003,3480,0,21,29.5,36.56,43.4257,-80.3779,3480,43.6963,-79.5449,1
D003,1328,0,12,7.38,9.14,43.4257,-80.3779,1328,43.7026,-79.7362,3
D003,3138,0,28,55.35,68.55,43.4257,-80.3779,3138,42.98476,-79.2401,2
D003,572,0.4,17,54.46,100.89,43.4257,-80.3779,572,42.0398,-82.7257,3
D003,300,0,20,87.29,152.84,43.4257,-80.3779,300,43.2317,-79.7669,3
D003,2719,0,8,33.46,59.94,43.4257,-80.3779,2719,45.34479,-79.22701,1
D003,1320,0,22,29.52,36.56,43.4257,-80.3779,1320,42.3887,-82.1654,2
D037,3986,0,23,59.07,87.84,49.9123,-97.1832,3986,49.76766,-94.48382,2
D037,1511,-0.2,46,160.76,244.13,49.9123,-97.1832,1511,49.9005,-97.1985,2
D003,570,0,16,31.02,52.11,43.4257,-80.3779,570,42.8552,-80.6891,2
D003,1313,0,22,47.92,59.41,43.4257,-80.3779,1313,42.1047,-83.1078,2
D003,2683,-1.5,13,18.44,29.95,43.4257,-80.3779,2683,46.5255,-84.3163,3
D003,2841,-0.75,12,13.8,21.96,43.4257,-80.3779,2841,43.5679,-79.6339,2
D003,818,-0.085,22,80.77,143.85,43.4257,-80.3779,818,45.0416,-79.3244,2
D003,3478,0,36,62.73,77.69,43.4257,-80.3779,3478,43.3822,-81.0045,3
D003,87,0,25,62.08,103.87,43.4257,-80.3779,87,43.3669,-79.8232,3
D003,3118,0,20,25.83,31.99,43.4257,-80.3779,3118,43.414,-80.4813,2
D003,65,0,26,92.68,156.31,43.4257,-80.3779,65,43.2053,-79.8937,2
D003,3453,0,33,66.42,82.26,43.4257,-80.3779,3453,43.0046,-81.1721,2
D003,1003,-0.5,12,51,95.9,43.4257,-80.3779,1003,43.615,-79.6887,3
D003,2803,-0.065,20,48.25,82.4,43.4257,-80.3779,2803,46.5198,-80.94,3
D003,39,0,4,19.54,35.97,43.4257,-80.3779,39,43.7603,-79.7298,2
D003,80,0,13,42.53,67.9,43.4257,-80.3779,80,43.849,-79.5327,2
D003,706,-0.1,37,81.13,100.54,43.4257,-80.3779,706,42.9838,-82.3773,1
D037,3440,0,68,214.08,318.42,49.9123,-97.1832,3440,49.8996,-97.1565,3
D003,38,0,7,32.57,59.95,43.4257,-80.3779,38,43.438,-79.6772,1
D003,3152,0,12,18.45,22.85,43.4257,-80.3779,3152,42.3243,-82.9882,3
D003,738,0,27,51.66,63.98,43.4257,-80.3779,738,42.8956,-79.2666,3
D037,1514,-0.43,39,110.44,159.04,49.9123,-97.1832,1514,49.8584,-97.103,3
D003,2806,-0.165,23,68.92,112.4,43.4257,-80.3779,2806,43.2032,-79.5915,1
D003,763,0,16,25.81,31.99,43.4257,-80.3779,763,42.7944,-80.2224,1
D003,458,-0.57,10,11.04,17.97,43.4257,-80.3779,458,46.421,-81.1424,2
D003,3112,0,10,7.38,9.14,43.4257,-80.3779,3112,44.1814,-81.6166,1
D003,445,0,7,22.12,38.94,43.4257,-80.3779,445,42.8829,-79.0599,2
D037,1509,0.25,28,99.32,149.4,49.9123,-97.1832,1509,49.7999,-97.1645,1
D003,45,0,5,26.07,47.96,43.4257,-80.3779,45,43.3346,-79.9033,2
D037,9002,0,13,31.07,44.73,49.9123,-97.1832,9002,49.8217,-97.0844,1
D003,3124,0,20,29.52,36.56,43.4257,-80.3779,3124,43.2234,-79.8533,3
D003,528,-0.165,16,23.46,40.94,43.4257,-80.3779,528,43.4968,-80.5257,3
D003,3134,0,19,25.83,31.99,43.4257,-80.3779,3134,43.0883,-79.1021,1
D003,3461,0,37,59.04,73.12,43.4257,-80.3779,3461,44.5628,-80.9692,2
D003,3148,0,21,29.52,36.56,43.4257,-80.3779,3148,43.1758,-79.2127,1
D003,3474,0,33,51.66,63.98,43.4257,-80.3779,3474,43.1332,-80.2741,3
D003,2826,-0.09,34,97.17,164.79,43.4257,-80.3779,2826,42.9773,-82.3645,2
D003,2601,0,9,14.75,25.96,43.4257,-80.3779,2601,42.8534,-80.4991,2
D003,85,0,14,48.2,80.9,43.4257,-80.3779,85,43.4059,-79.8032,2
D003,744,0,20,29.49,36.56,43.4257,-80.3779,744,43.5923,-79.5662,2
D003,793,0,19,25.83,31.99,43.4257,-80.3779,793,43.5254,-80.2224,3
D003,1080,-0.5,11,22.77,38.45,43.4257,-80.3779,1080,43.5955,-79.7834,2
D003,96,0,6,32.57,59.95,43.4257,-80.3779,96,43.7894,-79.5544,1
D003,2682,-0.055,45,153.27,275.73,43.4257,-80.3779,2682,43.0314,-80.8935,1
D003,2658,0,9,14.76,27.96,43.4257,-80.3779,2658,46.2579,-83.5556,1
D003,3493,-0.92,26,33.2,41.13,43.4257,-80.3779,3493,43.5424,-80.2811,1
D003,824,0,4,19.54,35.97,43.4257,-80.3779,824,43.4563,-80.4732,2
D003,67,0,31,79.63,132.33,43.4257,-80.3779,67,43.255,-79.9288,2
D003,779,-0.17,20,40.59,50.27,43.4257,-80.3779,779,42.8755,-82.4544,1
D003,2822,-0.39,31,104.74,181.3,43.4257,-80.3779,2822,43.4292,-80.5279,1
D003,52,0,4,19.54,35.97,43.4257,-80.3779,52,43.7175,-79.4466,1
D003,710,0,19,25.83,31.99,43.4257,-80.3779,710,45.3589,-80.0415,1
D037,1508,-0.6,46,152.48,229.07,49.9123,-97.1832,1508,49.8824,-97.2877,1
D003,3111,0,18,22.14,27.42,43.4257,-80.3779,3111,42.9786,-81.1922,3
D003,3463,0,26,29.52,36.56,43.4257,-80.3779,3463,43.1194,-80.7358,1
D003,2827,0,29,96.5,164.8,43.4257,-80.3779,2827,42.2899,-83.0214,1
D003,796,0,143,276.54,342.67,43.4257,-80.3779,796,46.5384,-84.3676,2
D003,531,-0.5,19,48.93,88.49,43.4257,-80.3779,531,43.513,-80.2178,3
D003,3126,0,15,25.81,31.99,43.4257,-80.3779,3126,43.5882,-79.7403,3
D003,3910,0,31,51.66,63.98,43.4257,-80.3779,3910,43.9883,-80.7414,2
D003,2720,0,4,11.06,19.47,43.4257,-80.3779,2720,43.32054,-80.83862,2
D003,3143,0,17,36.89,45.7,43.4257,-80.3779,3143,43.3741,-79.8366,1
D037,9081,0,28,79.36,114.31,49.9123,-97.1832,9081,52.1072,-101.2609,1
D037,1516,-0.25,20,72.44,109.59,49.9123,-97.1832,1516,49.8566,-97.2032,3
D003,2801,-0.8,9,13.79,21.96,43.4257,-80.3779,2801,43.6646,-79.7333,2
D003,562,0,28,79.28,130.83,43.4257,-80.3779,562,42.4326,-82.2173,3
D003,538,-0.11,11,6.9,11.58,43.4257,-80.3779,538,43.5585,-80.2477,2
D037,3449,0,35,110.72,164.7,49.9123,-97.1832,3449,51.1488,-100.0488,3
D003,895,0,23,91.81,166.32,43.4257,-80.3779,895,43.3636,-81.4811,3
D003,500,0,5,24.82,47.96,43.4257,-80.3779,500,43.503,-80.1905,3
D003,46,0,20,70.55,123.37,43.4257,-80.3779,46,43.1757,-79.7778,1
D003,273,0,17,33.18,41.13,43.4257,-80.3779,273,43.6501,-79.5796,3
D003,55,0,3,6.51,11.99,43.4257,-80.3779,55,43.7935,-79.6235,1
D003,1024,-0.14,13,20.69,32.45,43.4257,-80.3779,1024,43.4835,-79.7225,2
D003,535,0,16,24.13,40.53,43.4257,-80.3779,535,43.7302,-80.9679,2
D003,3127,0,15,29.5,36.56,43.4257,-80.3779,3127,43.4557,-79.6868,1
D037,3450,0,12,40.59,60.39,49.9123,-97.1832,3450,48.4533,-89.2547,3
D003,266,0,17,29.52,36.56,43.4257,-80.3779,266,42.9343,-81.3149,3
D037,6703,0,10,31.06,49.41,49.9123,-97.1832,6703,49.8952,-97.2049,1
D003,519,0,25,68.94,123.64,43.4257,-80.3779,519,43.061,-79.9611,1
D003,2676,-6,4,7.38,12.98,43.4257,-80.3779,2676,44.11,-81.15,2
D003,718,0,16,22.13,27.42,43.4257,-80.3779,718,43.6443,-79.755,3
D003,576,-0.18,15,13.8,23.16,43.4257,-80.3779,576,43.3556,-80.2871,1
D003,3129,-0.15,25,40.59,50.27,43.4257,-80.3779,3129,43.2298,-79.7759,1
D003,212,0,7,37.23,40.48,43.4257,-80.3779,212,43.5823,-79.6382,2
D003,2671,-0.63,13,18.43,29.95,43.4257,-80.3779,2671,46.49018,-81.00206,1
D037,1506,0,52,166.93,248.9,49.9123,-97.1832,1506,49.8939,-97.0671,2
D003,42,0,26,80.76,138.85,43.4257,-80.3779,42,43.6838,-79.8153,3
D003,41,0,4,19.53,35.97,43.4257,-80.3779,41,43.7213,-79.5952,1
D003,577,-0.055,28,81.32,137.32,43.4257,-80.3779,577,43.1536,-79.2667,1
D003,784,0,29,44.28,54.84,43.4257,-80.3779,784,43.0202,-81.3103,2
D003,3113,0,11,11.07,13.71,43.4257,-80.3779,3113,43.2179,-79.9196,1
D003,1335,0,41,73.8,91.4,43.4257,-80.3779,1335,42.7867,-80.9805,2
D003,2666,0,2,6.51,11.99,43.4257,-80.3779,2666,42.7749,-80.9829,3
D003,476,0,6,18.44,29.95,43.4257,-80.3779,476,44.1571,-81.0089,3
D003,579,0,12,17.23,28.95,43.4257,-80.3779,579,43.1358,-80.7313,2
D003,2611,0,11,29.74,54.45,43.4257,-80.3779,2611,46.5711,-81.1832,3
D037,1510,0.57,33,89.72,127.73,49.9123,-97.1832,1510,49.1861,-97.9328,2
D003,263,0,22,36.9,45.7,43.4257,-80.3779,263,42.266,-82.4231,3
D003,1306,0,21,33.19,41.13,43.4257,-80.3779,1306,43.5945,-79.5396,3
D003,1368,0,22,33.21,41.13,43.4257,-80.3779,1368,46.3674,-79.9082,3
D003,559,-0.5,18,65.52,117.85,43.4257,-80.3779,559,43.5223,-80.2897,3
D003,50,-0.19,30,95.5,162.81,43.4257,-80.3779,50,43.36982,-79.75263,2
D003,3457,0,22,40.57,50.27,43.4257,-80.3779,3457,43.4908,-79.8768,2
D003,539,0,5,24.81,47.96,43.4257,-80.3779,539,43.6982,-80.3686,2
D037,3969,0,26,77.5,115.29,49.9123,-97.1832,3969,48.3934,-89.2799,3
D003,2602,0,7,11.05,20.97,43.4257,-80.3779,2602,45.9792,-81.923,1
D003,2680,0,9,11.05,20.97,43.4257,-80.3779,2680,49.1267,-85.8295,3
D003,566,-0.5,21,49.64,82.38,43.4257,-80.3779,566,42.059,-82.5869,2
D003,2811,-0.05,30,81.3,135.36,43.4257,-80.3779,2811,43.651,-79.9059,1
D003,567,0,16,13.79,21.96,43.4257,-80.3779,567,42.2563,-82.9681,3
D003,2810,-0.5,17,78.56,137.36,43.4257,-80.3779,2810,43.525,-79.8657,3
D003,2818,-0.115,39,107.53,186.8,43.4257,-80.3779,2818,42.8514,-80.2957,2
D003,434,-0.8,10,18.44,32.45,43.4257,-80.3779,434,46.6541,-80.9865,3
D003,2638,0,8,25.81,41.93,43.4257,-80.3779,2638,44.4508,-81.3785,2
D003,200,0,12,29.52,43.92,43.4257,-80.3779,200,43.2615,-79.8898,1
D003,550,0,21,60.64,112.88,43.4257,-80.3779,550,43.0174,-79.2521,2
D003,525,0,12,45.49,82.7,43.4257,-80.3779,525,43.4828,-80.5055,2
D003,3114,0,10,7.38,9.14,43.4257,-80.3779,3114,43.3186,-79.9116,3
D003,551,-0.25,31,84.1,142.82,43.4257,-80.3779,551,42.7825,-81.169,3
D003,3907,0,10,11.07,13.71,43.4257,-80.3779,3907,43.5998,-79.711,1
D003,413,0,10,18.44,34.95,43.4257,-80.3779,413,47.8436,-83.4025,2
D003,554,-0.5,18,68.24,124.05,43.4257,-80.3779,554,43.9257,-80.0918,3
D003,2655,0,10,29.5,51.92,43.4257,-80.3779,2655,42.8825,-82.1497,3
D003,512,-0.055,27,82.71,141.86,43.4257,-80.3779,512,44.473,-80.0731,1
D003,3123,0,28,44.28,54.84,43.4257,-80.3779,3123,43.2519,-79.8526,1
D003,563,0,15,44.11,83.52,43.4257,-80.3779,563,44.5756,-80.9242,1
D003,3481,0,21,29.52,36.56,43.4257,-80.3779,3481,43.94917,-80.09799,2
D003,1341,0,21,33.2,41.13,43.4257,-80.3779,1341,43.3708,-80.7031,3
